company,country,industry,tenure,company_size,year_founded,no_of_employees,growth_rate
3D Issue,Ireland,IT,, 11 - 50,2006,,
448 Studio,UK,Education,, 11 - 50,2017,,
Abstract,US,IT,,51 - 200,2016,,
Administrate,UK,Education,2.6,51 - 200,2011,156,16
Advice Direct Scotland,UK,Telecommunications,1.8,51 - 200,2004,31,19
ALAMI,Indonesia,Finance,0.8,201 - 500 ,2018,408,141
Applied Reviews,UK,Human Resource,2.4, 11 - 50,2015,46,39
Arken Legal,UK,IT,1.5, 11 - 50,1992,30,43
Atom Bank,UK,Finance,3,201 - 500 ,2014,417,15
Backbone,US,IT,1.4, 11 - 50,2014,47,15
Bandai Namco Mobile,Spain,Gaming,1.6, 11 - 50,2019,56,37
Barefoot Architects,UK,Architecture,, 2 - 10,,,
Benenati Law Firm,US,Legal,,51 - 200,2008,,
Bijles Aan Huis,Netherlands,Education,1.8, 11 - 50,2018,235,-6
Big Potato Games,UK,Manufacturing,3.4, 11 - 50,2014,42,5
Bit.io,US,IT,, 2 - 10,,,
Blackbird Interactive,Canada,Gaming,2.3,201 - 500 ,2007,306,13
Blink SEO,UK,Marketing,, 11 - 50,2010,,
Bolt,US,Finance,0.8,501 - 1000,2014,877,154
Boulder County,US,Government,7.3,1001 - 5000,1861,1107,0
Brett Nicholls Associates,UK,Accounting,, 2 - 10,2004,,
Buffer,US,Social Media,2.6,51 - 200,2010,149,10
Bunny Studio,US,Advertising,1.8,51 - 200,2012,231,12
ByteChek,US,Software Development,0.5, 11 - 50,2020,31,121
Calibre,Australia,IT,, 2 - 10,,,
Charlton Morris,UK,Staffing and Recruiting,1.3,51 - 200,2013,142,56
Carbon Switch,US,Manufacturing,, 2 - 10,,,
Chief Nation,UK,Advertising,1.8, 11 - 50,2002,38,3
Chordify,Netherlands,Music,2.7,51 - 200,2013,48,12
CIB Group,US,Finance,, 2 - 10,2000,,
City to Sea,UK,Environmental Services,2.8, 11 - 50,2015,31,24
Civo,UK,IT,1.8, 11 - 50,2015,35,21
CMG Technologies,UK,Nanotechnology Research,, 11 - 50,2013,,
Cockroach Labs,US,Software Development,1.2,201 - 500 ,2015,478,56
Coconut Software,Canada,Finance,1.3,51 - 200,2011,140,57
Commission Factory,Australia,Advertising,2.4, 11 - 50,2011,52,21
Covert Marketing,US,Publishing,, 2 - 10,2017,,
d.MBA,Germany,Design,, 2 - 10,2017,,
D’Youville University,US,Education,7.3,201 - 500 ,1908,728,1
Dassana,US,IT,, 2 - 10,2020,,
Daye,UK,Health and Wellness,2.2, 11 - 50,2018,62,9
Deedmob,Netherlands,Social Enterprise,, 11 - 50,2017,,
Delivery Native,US,Food & Beverage,, 11 - 50,,,
DHIS2,Norway,IT,2.8,51 - 200,2006,45,2
Diesdas Digital,Germany,Design,, 11 - 50,,,
Digible,US,Advertising,2.5,51 - 200,2017,48,-6
DNSFilter,US,IT,0.6,51 - 200,2015,111,158
Eduwill,South Korea,Education,1.9,501 - 1000,1992,76,25
eFileCabinet,US,Business,1.9,51 - 200,2001,131,11
Eidos-Montréal,Canada,Gaming,4.7,201 - 500 ,2007,620,-1
Elektra Lighting,UK,Architecture,, 11 - 50,2000,,
Elephant Ventures,US,IT,2.9,51 - 200,2004,68,31
Emtrain,US,Publishing,2.2,51 - 200,2000,97,11
Encore,UK,Music,, 11 - 50,,,
Escape the City,UK,Publishing,, 2 - 10,2010,,
Fast Retailing,Japan,Retail,3.7," 10,001+",1963,1860,4
Evolved Search,UK,Advertising,1.9,51 - 200,2014,56,33
Feathr,US,Marketing,1.2,51 - 200,2012,174,39
Firmsy,New Zeland,IT,, 11 - 50,,,
Forward Space,UK,Facilities Services,, 2 - 10,2007,,
FundersClub,US,Finance,8.6, 11 - 50,2012,36,-5
G2i,US,Human Resource,1.4, 11 - 50,2012,51,-2
Galt Pharmaceuticals,US,Pharmaceutical,2.8, 11 - 50,2016,30,-25
Geeks for Social Change,UK,Publishing,, 2 - 10,2016,,
GoLinks,US,Software Development,0.7, 11 - 50,2017,60,131
Grounded Packaging,Australia,Packaging,1, 11 - 50,,30,76
Groupe LDLC,France,Manufacturing,4.5,501 - 1000,1996,467,6
Headspace,US,Health and Wellness,1.3,501 - 1000,2010,410,7
Healthwise,US,Healthcare,7.5,201 - 500 ,1975,389,10
ihorizon,UK,Accounting,3.3, 11 - 50,2012,40,-27
ImprovMX,Germany,IT,, 2 - 10,,,
InDebted,Australia,Finance,0.8,201 - 500 ,2016,205,105
IriusRisk,Spain,IT,1,51 - 200,2008,118,69
JAYU,Canada,Charity,, 2 - 10,,,
Jexo,UK,IT,, 11 - 50,,,
JMK Solicitors,UK,Legal,6.2,51 - 200,2003,45,5
Justuno,US,Internet Publishing,2.8, 11 - 50,2010,42,-21
Kickstarter,US,Publishing,3.8,51 - 200,2009,238,0
KPMG,US,Finance,9.8," 10,001+",1987,50401,8
LAB Group,UK,Marketing,3.2,51 - 200,2003,59,7
Landscape,UK,Venture Capital and Private Equity Principals,0.6, 2 - 10,2020,89,154
Lime Health,Canada,IT,, 2 - 10,,,
Luscii,Netherlands,Healthcare,2.5, 11 - 50,2018,55,-4
Maaemo,Norway,Food & Beverage,,51 - 200,,,
ManWinWin,Portugal,Software Development,, 11 - 50,1981,,
Marketing Signals,UK,Advertising,1.3, 11 - 50,2007,42,45
MeiliSearch,France,IT,, 11 - 50,,,
Mizuho Financial Group,Japan,Finance,5.7," 10,001+",2002,8688,2
Modo25,UK,Advertising,1.2, 11 - 50,2019,34,17
Monograph,US,IT,0.8, 11 - 50,2017,62,82
Morrisons,UK,Retail,4.4," 10,001+",1899,23937,1
MRL Consulting Group,UK,Staffing and Recruiting,3,51 - 200,1997,107,11
Nexton,US,IT,0.7,51 - 200,2012,110,134
Nectafy,US,Marketing,, 2 - 10,,,
Nomad,US,Retail,,,,,
Officely,UK,Human Resource,, 2 - 10,,,
Our Community,Australia,Non-profit Organizations,5,51 - 200,2000,79,-2
Panasonic,Japan,Manufacturing,4.9," 10,001+",1918,31285,5
PDQ.com,US,Software Development,1.4,51 - 200,2001,102,62
Perpetual Guardian,New Zeland,Legal,4.8," 10,001+",1884,144,1
Piktochart,Malaysia,IT,3.3,51 - 200,2012,46,-6
Polar,Canada,Advertising,0.8,51 - 200,2008,51,4
Praytell,US,Public Relation,1.3,51 - 200,2013,180,13
Practice Pal,UK,Music,, 2 - 10,,,
Procurify,Canada,Software Development,0.9,51 - 200,2012,184,36
Punch Creative,UK,Advertising,, 11 - 50,2007,,
Qwick,US,Hospitality,0.9,51 - 200,2017,332,132
Radioactive PR,UK,Public Relation,, 11 - 50,,,
Reflect Digital,UK,Publishing,1.8, 11 - 50,2011,39,-9
REM Web Solutions,Canada,Software Development,, 2 - 10,2001,,
Resilience Brokers,UK,Civic and Social Organizations,, 2 - 10,2017,,
Seed&Spark,US,Entertainment,2.3, 11 - 50,2012,36,3
SEOMG!,UK,Marketing,, 11 - 50,,,
Shape,UK,Construction,, 11 - 50,,,
Signifyd,US,Internet Publishing,1.5,201 - 500 ,2011,490,20
Smalls,US,Consumer Goods,2, 11 - 50,2016,42,27
Software DELSOL,Spain,IT,6,51 - 200,1993,125,2
Spin Brands,UK,Advertising,1, 11 - 50,2016,40,54
Standard Notes,US,IT,, 2 - 10,,,
Starship,US,Healthcare,2.3, 11 - 50,2016,39,-11
STC Expeditions,UK,Travel,, 2 - 10,2006,,
Stora,UK,Automation,, 11 - 50,,,
streamGo,UK,Media Production,, 11 - 50,2015,,
Supabase,US,IT,0.8,51 - 200,2020,41,141
Swash Labs,US,Advertising,, 2 - 10,2011,,
TAC Security,India,IT,2.1,51 - 200,,116,22
Talewind,UK,Gaming,0.9, 11 - 50,2021,34,113
Target Publishing,UK,Publishing,, 11 - 50,2000,,
Telefónica,Spain,Telecommunications,7.8," 10,001+",1924,116283,8
The Curve Group,UK,Human Resource,3.8,51 - 200,2004,112,27
The Ecomm Manager,Canada,eCommerce,, 2 - 10,2019,,
The Financial Diet,US,Publishing,, 2 - 10,2014,,
The United Arab Emirates,UAE,Government,,,,,
The UPAC Group,UK,Packaging,,51 - 200,1999,,
The Wanderlust Group,US,IT,0.7,51 - 200,,105,84
Think Productive,UK,Business,, 11 - 50,2009,,
Tower,Germany,IT,, 2 - 10,2010,,
Treehouse,US,Education,2.2,51 - 200,2011,158,-7
Tulip,Europe,IT,1.3,51 - 200,2013,242,32
Tuple,US,IT,, 2 - 10,2018,,
Twistcode,Malaysia,IT,, 11 - 50,2006,,
Uncharted,US,Social impact,2.3, 11 - 50,2001,45,25
Unito,Canada,Software Development,2.7,51 - 200,2015,115,8
Uplevel,US,Software Development,2.1, 11 - 50,2018,37,23
Uplift,US,IT,, 11 - 50,2016,,
UsabilityHub,Australia,Design,, 11 - 50,2008,,
Vault City Brewing,UK,Food & Beverage,, 11 - 50,2018,,
Vaxine,Croatia,IT,, 2 - 10,2021,,
Venture Stream,UK,Publishing,, 11 - 50,2012,,
Volt Athletics,US,Health and Wellness,2.4, 11 - 50,2011,31,11
WANdisco,US,Software Development,3.5,51 - 200,2005,198,-12
Webpower Adria,Croatia,Advertising,, 2 - 10,2019,,
Welcome to the Jungle,France,Human Resource,1.3,51 - 200,2014,524,53
Whyfield,UK,Accounting,, 11 - 50,2014,,
Wildbit,US,IT,, 11 - 50,2000,,
Wonde,UK,Education,1.8,51 - 200,2015,92,39
Wonderlic,US,Human Resource,4.8,51 - 200,1937,111,10
Xaso,UK,Advertising,, 2 - 10,2017,,
Yac,US,IT,, 2 - 10,2019,,
YWCA Scotland,UK,Social impact,, 2 - 10,1877,,
Shopify,Canada,Software Development,1.6," 10,001+",2006,15841,38
Canon,UK,IT,7.6," 10,001+",1937,10219,0
Highfield Professional Solutions Ltd,UK,Staffing and Recruiting,3.8, 11 - 50,2006,60,36
HearFocus,UK,Health and Wellness,2,51 - 200,2020,34,13
Hutch,UK,Gaming,2.1,51 - 200,2011,174,25
